deviceModel,intervalo,rsrq_mean,rsrq_std,rsrp_mean,rsrp_std,rssi_mean,rssi_std,lat_mean,lon_mean
Brand A model 1,I1 14:33:00-14:34:00,-17.583333333333332,1.1645001528813153,-98.66666666666667,1.6696942198734435,-61.166666666666664,2.6227443411030125,-16.406456700000003,-71.5243583
Brand A model 1,I2 14:34:00-14:35:00,-16.416666666666668,1.2401124093721456,-95.58333333333333,2.108783937953269,-59.166666666666664,2.622744341103013,-16.406410833333332,-71.52437871666665
Brand A model 1,I3 14:35:00-14:36:00,-16.25,1.3568010505999362,-98.58333333333333,2.539088359425425,-62.5,2.5761140573281374,-16.406336775,-71.52434960833334
Brand A model 1,I4 14:36:00-14:37:00,-17.6,1.3416407864998738,-103.2,2.4899799195977463,-64.2,1.7888543819998317,-16.40640806,-71.52433588
Brand A model 1,I5 14:37:00-14:38:00,-19.416666666666668,1.0836246694508318,-105.91666666666667,2.02072594216369,-65.5,2.1105794120443453,-16.406339308333333,-71.52432200833333
Brand A model 1,I6 14:38:00-14:39:00,-18.833333333333332,1.0298573010888745,-105.83333333333333,1.0298573010888745,-67.0,0.0,-16.40640036666667,-71.52453305833335
Brand A model 1,I7 14:39:00-14:40:00,-18.0,0.8528028654224418,-105.33333333333333,0.492365963917331,-66.33333333333333,0.9847319278346618,-16.40645531666667,-71.52456546666667
Brand A model 1,I8 14:40:00-14:41:00,-18.25,0.45226701686664544,-105.75,0.45226701686664544,-65.66666666666667,0.9847319278346618,-16.406452016666673,-71.52459396666666
Brand A model 1,I9 14:41:00-14:42:00,-17.0,0.0,-100.08333333333333,0.9003366373785199,-60.333333333333336,0.9847319278346618,-16.406505274999997,-71.52462985
Brand A model 1,I10 14:42:00-14:43:00,-15.583333333333334,0.6685579234215215,-96.25,1.5447859516333116,-59.166666666666664,0.5773502691896257,-16.406528058333336,-71.52460456666667
Brand A model 1,I11 14:43:00-14:44:00,-17.5,1.1677484162422844,-100.0,2.335496832484569,-62.333333333333336,1.556997888323046,-16.406537966666665,-71.52457505833335
Brand A model 1,I12 14:44:00-14:45:00,-18.0,0.0,-101.0,0.0,-63.0,0.0,-16.406560700000004,-71.52456105454544
Brand A model 1,I13 14:45:00-14:46:00,-18.0,0.0,-101.0,0.0,-63.0,0.0,-16.406576150000003,-71.52453823333333
Brand A model 1,I14 14:46:00-14:47:00,-17.25,0.45226701686664544,-100.25,0.45226701686664544,-63.0,0.0,-16.406586,-71.52451496666669
Brand A model 1,I15 14:47:00-14:48:00,-16.5,0.9045340337332909,-100.0,0.0,-63.0,0.0,-16.40657835,-71.52452708333334
Brand A model 1,I16 14:48:00-14:49:00,-16.666666666666668,1.1547005383792517,-98.83333333333333,1.2673044646258473,-60.333333333333336,1.5569978883230462,-16.406550433333337,-71.52452906666664
Brand A model 1,I17 14:49:00-14:50:00,-16.25,0.45226701686664544,-100.75,2.261335084333227,-63.5,2.7136021011998723,-16.406516283333335,-71.52448336666667
Brand A model 1,I18 14:50:00-14:51:00,-16.0,0.0,-99.0,1.8090680674665818,-62.0,1.8090680674665818,-16.406515000000002,-71.5244788
Brand A model 2,I1 14:33:00-14:34:00,-17.583333333333332,1.1645001528813153,-98.66666666666667,1.6696942198734435,-61.166666666666664,2.6227443411030125,-16.406456700000003,-71.5243583
Brand A model 2,I2 14:34:00-14:35:00,-16.416666666666668,1.2401124093721456,-95.58333333333333,2.108783937953269,-59.166666666666664,2.622744341103013,-16.406410833333332,-71.52437871666665
Brand A model 2,I3 14:35:00-14:36:00,-16.25,1.3568010505999362,-98.58333333333333,2.539088359425425,-62.5,2.5761140573281374,-16.406336775,-71.52434960833334
Brand A model 2,I4 14:36:00-14:37:00,-17.333333333333332,0.9847319278346619,-103.0,1.4770978917519928,-66.16666666666667,1.3371158468430429,-16.406327608333328,-71.52434989166667
Brand A model 2,I5 14:37:00-14:38:00,-18.833333333333332,1.1146408580454257,-102.83333333333333,2.4058010698889443,-64.5,2.2763607319179844,-16.406300724999998,-71.52443191666667
Brand A model 2,I6 14:38:00-14:39:00,-17.833333333333332,1.1934162828797101,-103.29166666666667,2.7257887376728673,-66.41666666666667,2.6097137890209456,-16.40633170833333,-71.52445025
Brand A model 2,I7 14:39:00-14:40:00,-17.416666666666668,1.4433756729740645,-105.66666666666667,1.5569978883230458,-68.83333333333333,1.5859229221975182,-16.4064141,-71.5245413
Brand A model 2,I8 14:40:00-14:41:00,-16.916666666666668,0.28867513459481287,-100.16666666666667,2.5878504008094625,-64.0,2.6285149626910838,-16.40644838333333,-71.52460418333332
Brand A model 2,I9 14:41:00-14:42:00,-17.25,1.0552897060221726,-99.25,1.5447859516333116,-62.0,1.8090680674665818,-16.406508475,-71.524635175
Brand A model 2,I10 14:42:00-14:43:00,-17.25,1.1381803659589922,-98.58333333333333,1.5642792899510294,-61.833333333333336,1.5859229221975182,-16.406539925,-71.524618075
Brand A model 2,I11 14:43:00-14:44:00,-17.166666666666668,1.1934162828797101,-98.08333333333333,2.0652243256245835,-61.166666666666664,3.010084062049773,-16.406543699999997,-71.5246118
Brand A model 2,I12 14:44:00-14:45:00,-16.833333333333332,0.8348471099367221,-96.5,1.087114613009218,-60.0,1.348399724926484,-16.406570016666667,-71.52457621666666
Brand A model 2,I13 14:45:00-14:46:00,-17.916666666666668,1.1645001528813153,-99.75,1.9128750375000738,-62.166666666666664,2.1672493389016636,-16.406591583333338,-71.52454773333334
Brand A model 2,I14 14:46:00-14:47:00,-16.666666666666668,0.8876253645985945,-96.66666666666667,1.9227505550564006,-61.0,1.4770978917519928,-16.406609533333334,-71.52452244999999
